Date,QQQQ Close,Change,Gain,Loss ,Avg Gain,Avg Loss,RS,14-day RSI
2009-12-14,44.34,,,,,,,
2009-12-15,44.09,-0.25,0.00,0.25,,,,
2009-12-16,44.15,0.06,0.06,0.00,,,,
2009-12-17,43.61,-0.54,0.00,0.54,,,,
2009-12-18,44.33,0.72,0.72,0.00,,,,
2009-12-21,44.83,0.50,0.50,0.00,,,,
2009-12-22,45.10,0.27,0.27,0.00,,,,
2009-12-23,45.42,0.33,0.33,0.00,,,,
2009-12-24,45.84,0.42,0.42,0.00,,,,
2009-12-28,46.08,0.24,0.24,0.00,,,,
2009-12-29,45.89,-0.19,0.00,0.19,,,,
2009-12-30,46.03,0.14,0.14,0.00,,,,
2009-12-31,45.61,-0.42,0.00,0.42,,,,
2010-01-04,46.28,0.67,0.67,0.00,,,RS,RSI
2010-01-05,46.28,0.00,0.00,0.00,0.24,0.10,2.39,70.53
2010-01-06,46.00,-0.28,0.00,0.28,0.22,0.11,1.97,66.32
2010-01-07,46.03,0.03,0.03,0.00,0.21,0.10,1.99,66.55
2010-01-08,46.41,0.38,0.38,0.00,0.22,0.10,2.27,69.41
2010-01-11,46.22,-0.19,0.00,0.19,0.20,0.10,1.97,66.36
2010-01-12,45.64,-0.58,0.00,0.58,0.19,0.14,1.38,57.97
2010-01-13,46.21,0.57,0.57,0.00,0.22,0.13,1.70,62.93
2010-01-14,46.25,0.04,0.04,0.00,0.20,0.12,1.72,63.26
2010-01-15,45.71,-0.54,0.00,0.54,0.19,0.15,1.28,56.06
2010-01-19,46.45,0.74,0.74,0.00,0.23,0.14,1.66,62.38
2010-01-20,45.78,-0.67,0.00,0.67,0.21,0.18,1.21,54.71
2010-01-21,45.35,-0.43,0.00,0.43,0.20,0.19,1.02,50.42
2010-01-22,44.03,-1.33,0.00,1.33,0.18,0.27,0.67,39.99
2010-01-25,44.18,0.15,0.15,0.00,0.18,0.26,0.71,41.46
2010-01-26,44.22,0.04,0.04,0.00,0.17,0.24,0.72,41.87
2010-01-27,44.57,0.35,0.35,0.00,0.18,0.22,0.83,45.46
2010-01-28,43.42,-1.15,0.00,1.15,0.17,0.29,0.59,37.30
2010-01-29,42.66,-0.76,0.00,0.76,0.16,0.32,0.49,33.08
2010-02-01,43.13,0.47,0.47,0.00,0.18,0.30,0.61,37.77
